,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price  (₹),Website
655,Dell,DELL Inspiron Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,69590,Flipkart.com
656,Dell,DELL Inspiron Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43590,Flipkart.com
657,Dell,DELL Inspiron Ryzen 3 Dual Core 3250U ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,39490,Flipkart.com
658,Dell,DELL Inspiron Ryzen 3 Dual Core 3250U ,8GB,1TB HDD + 256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive & Solid State Drive,44390,Flipkart.com
659,Dell,DELL Inspiron Ryzen 3 Dual Core 3250U ,8GB,256GB SSD,AMD Ryzen 3,Budget Laptop,AMD,Solid State Drive,39990,Flipkart.com
660,Dell,DELL Vostro Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,40490,Flipkart.com
661,Dell,DELL Vostro Ryzen 5 Quad Core R5,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,40790,Flipkart.com
662,Dell,DELL Vostro Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43090,Flipkart.com
663,Dell,DELL Vostro Core i3 11th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,41490,Flipkart.com
664,Dell,DELL Inspiron Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42190,Flipkart.com
665,Dell,DELL Ryzen 5 Hexa Core 5600H ,8GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,70990,Flipkart.com
666,Dell,DELL Inspiron Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,76090,Flipkart.com
667,Dell,DELL Vostro Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,40990,Flipkart.com
668,Dell,DELL Inspiron Ryzen 5 Dual Core 3450U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,47490,Flipkart.com
669,Dell,DELL Vostro Core i3 11th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,42890,Flipkart.com
670,Dell,DELL Vostro Core i3 10th Gen ,4GB,1TB HDD + 256GB SSD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive & Solid State Drive,44490,Flipkart.com
671,Dell,DELL Inspiron Core i3 11th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,40990,Flipkart.com
672,Dell,DELL Vostro Core i3 11th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,42390,Flipkart.com
673,Dell,DELL Inspiron Ryzen 3 Dual Core 3250U ,8GB,1TB HDD,AMD Ryzen 3,Budget Laptop,AMD,Hard Disk Drive,38990,Flipkart.com
674,Dell,DELL INSPIRON Core i3 10th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,42690,Flipkart.com
675,Dell,DELL Vostro Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43290,Flipkart.com
676,Dell,DELL Vostro Ryzen 5 Hexa Core 5500U ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,55990,Flipkart.com
677,Dell,DELL Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,60690,Flipkart.com
678,Dell,DELL Inspiron Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,64290,Flipkart.com
679,Dell,DELL Inspiron Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,39890,Flipkart.com
680,Dell,DELL Vostro Core i3 10th Gen ,4GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,36057,Flipkart.com
681,Dell,DELL Ryzen 5 Hexa Core 5600H ,16GB,512GB SSD,AMD Ryzen 5,High End Laptop,AMD,Solid State Drive,75990,Flipkart.com
682,Dell,DELL Inspiron Core i5 11th Gen ,4GB,1TB HDD + 256GB SSD,Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive & Solid State Drive,56590,Flipkart.com
683,Dell,DELL Inspiron Core i3 10th Gen ,8GB,1TB HDD,Intel Core i3,Budget Laptop,Intel,Hard Disk Drive,39390,Flipkart.com
684,Dell,DELL Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,85990,Flipkart.com
685,Dell,DELL Inspiron Ryzen 5 Quad Core 3450U ,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,44390,Flipkart.com
686,Dell,DELL Vostro Core i5 11th Gen ,8GB,1TB HDD,Intel Core i5,Mid Range Laptop,Intel,Hard Disk Drive,54790,Flipkart.com
687,Dell,DELL Inspiron Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,72490,Flipkart.com
688,Dell,DELL Inspiron Core i3 10th Gen ,8GB,256GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,44190,Flipkart.com
689,Dell,DELL Inspiron Ryzen 7 Octa Core 5825U ,8GB,512GB SSD,AMD Ryzen 7,Mid Range Laptop,AMD,Solid State Drive,66190,Flipkart.com
690,Dell,DELL Inspiron Ryzen 5 Quad Core 3450U ,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,49613,Flipkart.com
